Month,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,DepTimeM,DepTimeCategorical,UniqueCarrier_OriginDest,UniqueCarrier_Origin,target
c-4,c-6,897,OH,DCA,CMH,322,57,14,OH_DCA_CMH,OH_DCA,0
c-1,c-7,957,MQ,SDF,ORD,286,57,15,MQ_SDF_ORD,MQ_SDF,0
c-6,c-4,1063,US,BOS,DCA,399,43,17,US_BOS_DCA,US_BOS,0
c-2,c-4,393,XE,PNS,IAH,489,33,6,XE_PNS_IAH,XE_PNS,0
c-1,c-6,802,UA,MIA,IAD,921,22,13,UA_MIA_IAD,UA_MIA,0
c-6,c-5,1032,AA,ORD,SAN,1723,12,17,AA_ORD_SAN,AA_ORD,0
c-4,c-5,940,WN,CLE,STL,487,40,15,WN_CLE_STL,WN_CLE,0
c-9,c-3,997,XE,CLE,GSP,450,37,16,XE_CLE_GSP,XE_CLE,0
c-8,c-3,1071,CO,IAH,SAN,1303,51,17,CO_IAH_SAN,CO_IAH,0
c-11,c-6,648,MQ,DFW,CVG,812,48,10,MQ_DFW_CVG,MQ_DFW,0
c-3,c-7,1056,AA,MIA,ATL,595,36,17,AA_MIA_ATL,AA_MIA,1
c-2,c-3,1160,WN,SMF,SNA,404,20,19,WN_SMF_SNA,WN_SMF,0
c-9,c-4,507,MQ,SBP,LAX,155,27,8,MQ_SBP_LAX,MQ_SBP,0
c-6,c-2,915,YV,ORD,MLI,139,15,15,YV_ORD_MLI,YV_ORD,1
c-5,c-2,903,AS,SMF,SEA,605,3,15,AS_SMF_SEA,AS_SMF,0
c-11,c-5,1148,UA,ORD,DCA,612,8,19,UA_ORD_DCA,UA_ORD,0
c-10,c-4,1270,XE,EWR,JAX,821,10,21,XE_EWR_JAX,XE_EWR,1
c-2,c-3,1190,OH,CVG,DAY,64,50,19,OH_CVG_DAY,OH_CVG,0
c-6,c-4,417,US,ELP,PHX,347,57,6,US_ELP_PHX,US_ELP,1
c-8,c-5,744,UA,DEN,MCO,1545,24,12,UA_DEN_MCO,UA_DEN,0
c-4,c-7,1008,MQ,DFW,SGF,364,48,16,MQ_DFW_SGF,MQ_DFW,0
c-8,c-2,1230,FL,CAK,ATL,528,30,20,FL_CAK_ATL,FL_CAK,1
c-3,c-2,556,DL,ATL,SAV,215,16,9,DL_ATL_SAV,DL_ATL,0
c-1,c-1,568,UA,SFO,LAX,337,28,9,UA_SFO_LAX,UA_SFO,0
c-10,c-1,492,EV,ATL,LIT,453,12,8,EV_ATL_LIT,EV_ATL,0
c-7,c-2,1090,FL,MSY,ATL,425,10,18,FL_MSY_ATL,FL_MSY,0
c-8,c-6,1026,MQ,DBQ,ORD,147,6,17,MQ_DBQ_ORD,MQ_DBQ,0
c-7,c-6,764,MQ,ORD,TVC,224,44,12,MQ_ORD_TVC,MQ_ORD,0
c-8,c-7,1141,XE,CLE,ROC,245,1,19,XE_CLE_ROC,XE_CLE,0
c-12,c-3,705,TZ,IND,LAS,1591,45,11,TZ_IND_LAS,TZ_IND,0
c-12,c-1,805,WN,JAN,HOU,359,25,13,WN_JAN_HOU,WN_JAN,1
c-10,c-3,1180,OH,BWI,CVG,430,40,19,OH_BWI_CVG,OH_BWI,0
c-10,c-3,475,FL,MCO,BWI,787,55,7,FL_MCO_BWI,FL_MCO,0
c-7,c-2,969,AA,MIA,IAD,921,9,16,AA_MIA_IAD,AA_MIA,0
c-9,c-3,807,MQ,DFW,MAF,309,27,13,MQ_DFW_MAF,MQ_DFW,0
c-7,c-4,450,MQ,ORD,TYS,475,30,7,MQ_ORD_TYS,MQ_ORD,0
c-10,c-3,1109,DL,DCA,LGA,214,29,18,DL_DCA_LGA,DL_DCA,0
c-4,c-5,1234,OO,SJC,LAX,308,34,20,OO_SJC_LAX,OO_SJC,0
c-9,c-4,607,US,PHX,LAS,256,7,10,US_PHX_LAS,US_PHX,0
c-11,c-7,1013,UA,ORD,MCO,1005,53,16,UA_ORD_MCO,UA_ORD,0
c-1,c-4,1115,AA,ORD,MCO,1005,35,18,AA_ORD_MCO,AA_ORD,0
c-11,c-1,665,WN,RSW,BWI,919,5,11,WN_RSW_BWI,WN_RSW,0
c-3,c-6,392,UA,ORD,TPA,1012,32,6,UA_ORD_TPA,UA_ORD,0
c-9,c-1,929,WN,MHT,MDW,838,29,15,WN_MHT_MDW,WN_MHT,1
c-7,c-5,555,AA,STL,SAT,786,15,9,AA_STL_SAT,AA_STL,0
c-5,c-1,1076,AA,DFW,ORD,802,56,17,AA_DFW_ORD,AA_DFW,0
c-9,c-5,1114,WN,SMF,ONT,389,34,18,WN_SMF_ONT,WN_SMF,0
c-3,c-7,448,US,PIT,MCO,834,28,7,US_PIT_MCO,US_PIT,0
c-3,c-5,1157,HP,PHX,LAS,256,17,19,HP_PHX_LAS,HP_PHX,0
c-4,c-7,343,MQ,ICT,DFW,328,43,5,MQ_ICT_DFW,MQ_ICT,0
c-12,c-5,557,WN,MDW,RSW,1105,17,9,WN_MDW_RSW,WN_MDW,1
c-9,c-4,795,EV,BGR,ATL,1134,15,13,EV_BGR_ATL,EV_BGR,0
c-8,c-4,1263,WN,AUS,BNA,756,3,21,WN_AUS_BNA,WN_AUS,1
c-10,c-3,753,US,SFO,LAS,414,33,12,US_SFO_LAS,US_SFO,0
c-8,c-2,809,EV,SLC,LAX,590,29,13,EV_SLC_LAX,EV_SLC,0
c-7,c-5,544,DL,ATL,DTW,594,4,9,DL_ATL_DTW,DL_ATL,0
c-4,c-4,976,US,PHL,CLT,448,16,16,US_PHL_CLT,US_PHL,0
c-6,c-5,623,AA,ORD,PDX,1739,23,10,AA_ORD_PDX,AA_ORD,0
c-7,c-6,772,F9,DEN,SAN,853,52,12,F9_DEN_SAN,F9_DEN,0
c-12,c-1,456,B6,JFK,AUS,1522,36,7,B6_JFK_AUS,B6_JFK,0
c-11,c-4,1130,MQ,LAX,SJC,308,50,18,MQ_LAX_SJC,MQ_LAX,0
c-2,c-4,715,OH,JFK,SAV,718,55,11,OH_JFK_SAV,OH_JFK,0
c-1,c-1,757,AA,ORD,SAN,1723,37,12,AA_ORD_SAN,AA_ORD,1
c-5,c-7,557,AA,DFW,LAS,1055,17,9,AA_DFW_LAS,AA_DFW,0
c-8,c-2,421,OO,SAV,ORD,773,1,7,OO_SAV_ORD,OO_SAV,0
c-9,c-3,819,UA,DEN,PHX,602,39,13,UA_DEN_PHX,UA_DEN,0
c-8,c-5,688,UA,SFO,SLC,599,28,11,UA_SFO_SLC,UA_SFO,0
c-4,c-2,1046,UA,DEN,BOI,649,26,17,UA_DEN_BOI,UA_DEN,0
c-4,c-6,538,AQ,LIH,HNL,102,58,8,AQ_LIH_HNL,AQ_LIH,0
c-5,c-1,900,XE,EWR,MCI,1092,0,15,XE_EWR_MCI,XE_EWR,1
c-5,c-5,764,NW,TPA,MEM,656,44,12,NW_TPA_MEM,NW_TPA,0
c-10,c-1,552,US,PHL,PVD,238,12,9,US_PHL_PVD,US_PHL,0
c-9,c-5,1339,DL,ATL,PBI,545,19,22,DL_ATL_PBI,DL_ATL,1
c-12,c-5,439,MQ,DSM,ORD,299,19,7,MQ_DSM_ORD,MQ_DSM,0
c-11,c-3,680,AA,SEA,DFW,1660,20,11,AA_SEA_DFW,AA_SEA,1
c-1,c-4,729,US,DFW,CLT,936,9,12,US_DFW_CLT,US_DFW,1
c-7,c-5,1162,AA,DFW,PHX,868,22,19,AA_DFW_PHX,AA_DFW,1
c-9,c-3,650,WN,BUR,LAS,223,50,10,WN_BUR_LAS,WN_BUR,0
c-8,c-6,603,WN,LAS,GEG,806,3,10,WN_LAS_GEG,WN_LAS,0
c-5,c-2,1115,US,IAH,CLT,913,35,18,US_IAH_CLT,US_IAH,0
c-6,c-4,755,WN,MCI,MDW,405,35,12,WN_MCI_MDW,WN_MCI,0
c-3,c-5,584,OH,CVG,CID,419,44,9,OH_CVG_CID,OH_CVG,0
c-8,c-6,361,DH,GSP,IAD,383,1,6,DH_GSP_IAD,DH_GSP,0
c-9,c-7,357,MQ,MKE,ORD,67,57,5,MQ_MKE_ORD,MQ_MKE,0
c-6,c-4,360,US,SMF,PHX,647,0,6,US_SMF_PHX,US_SMF,0
c-6,c-3,517,OO,DSM,ORD,299,37,8,OO_DSM_ORD,OO_DSM,0
c-8,c-1,862,DL,BHM,ATL,134,22,14,DL_BHM_ATL,DL_BHM,0
c-5,c-2,1225,WN,ALB,BWI,288,25,20,WN_ALB_BWI,WN_ALB,0
c-9,c-3,1001,OO,IPL,LAX,181,41,16,OO_IPL_LAX,OO_IPL,1
c-2,c-5,1298,DH,IAD,PIT,183,38,21,DH_IAD_PIT,DH_IAD,0
c-12,c-4,1328,FL,LAX,ATL,1946,8,22,FL_LAX_ATL,FL_LAX,0
c-1,c-7,568,AS,ANC,OME,539,28,9,AS_ANC_OME,AS_ANC,0
c-4,c-3,1187,UA,SFO,LAX,337,47,19,UA_SFO_LAX,UA_SFO,0
c-11,c-1,545,FL,BWI,BOS,370,5,9,FL_BWI_BOS,FL_BWI,0
c-12,c-5,1284,DL,ATL,SRQ,445,24,21,DL_ATL_SRQ,DL_ATL,0
c-12,c-5,1133,CO,IAH,IND,845,53,18,CO_IAH_IND,CO_IAH,0
c-6,c-2,1237,WN,ELP,SAT,496,37,20,WN_ELP_SAT,WN_ELP,1
c-1,c-5,1303,MQ,LAX,SAN,109,43,21,MQ_LAX_SAN,MQ_LAX,0
c-10,c-2,1072,CO,IAD,IAH,1190,52,17,CO_IAD_IAH,CO_IAD,0
c-7,c-3,413,EV,CHO,ATL,457,53,6,EV_CHO_ATL,EV_CHO,0
c-12,c-4,544,NW,MCI,MSP,393,4,9,NW_MCI_MSP,NW_MCI,0
c-12,c-1,1320,WN,PHX,SAN,304,0,22,WN_PHX_SAN,WN_PHX,0
c-1,c-7,967,OO,SFO,RDD,199,7,16,OO_SFO_RDD,OO_SFO,1
c-3,c-4,1078,HP,ABQ,PHX,328,58,17,HP_ABQ_PHX,HP_ABQ,0
c-4,c-6,885,UA,LAS,ORD,1515,45,14,UA_LAS_ORD,UA_LAS,0
c-3,c-3,556,MQ,EVV,ORD,273,16,9,MQ_EVV_ORD,MQ_EVV,0
c-8,c-4,600,WN,TUL,MCI,223,0,10,WN_TUL_MCI,WN_TUL,0
c-7,c-5,915,XE,IND,IAH,845,15,15,XE_IND_IAH,XE_IND,0
c-9,c-3,730,OO,SNA,LAX,36,10,12,OO_SNA_LAX,OO_SNA,1
c-8,c-3,487,OO,ORD,ICT,588,7,8,OO_ORD_ICT,OO_ORD,0
c-7,c-7,810,WN,OAK,BUR,325,30,13,WN_OAK_BUR,WN_OAK,0
c-6,c-4,1115,WN,BUR,LAS,223,35,18,WN_BUR_LAS,WN_BUR,0
c-4,c-3,548,FL,ATL,SAV,215,8,9,FL_ATL_SAV,FL_ATL,0
c-4,c-7,1215,WN,BUR,SMF,358,15,20,WN_BUR_SMF,WN_BUR,0
c-6,c-3,520,WN,LAS,BOI,520,40,8,WN_LAS_BOI,WN_LAS,0
c-4,c-5,901,DH,GSO,MCO,534,1,15,DH_GSO_MCO,DH_GSO,0
c-2,c-5,1173,MQ,DFW,GSO,999,33,19,MQ_DFW_GSO,MQ_DFW,0
c-12,c-5,639,FL,BOS,BWI,370,39,10,FL_BOS_BWI,FL_BOS,0
c-7,c-4,1002,MQ,DFW,PNS,604,42,16,MQ_DFW_PNS,MQ_DFW,0
c-1,c-7,1056,DL,IAD,ATL,533,36,17,DL_IAD_ATL,DL_IAD,0
c-10,c-5,506,MQ,RDU,BOS,612,26,8,MQ_RDU_BOS,MQ_RDU,0
c-3,c-2,916,AA,STT,SJU,68,16,15,AA_STT_SJU,AA_STT,0
c-7,c-2,897,FL,ATL,JAX,270,57,14,FL_ATL_JAX,FL_ATL,1
c-11,c-1,1107,DL,PHL,ATL,665,27,18,DL_PHL_ATL,DL_PHL,0
c-6,c-5,1129,XE,CLE,ORD,316,49,18,XE_CLE_ORD,XE_CLE,0
c-9,c-4,1087,UA,IAD,SJC,2400,7,18,UA_IAD_SJC,UA_IAD,0
c-7,c-3,1080,F9,BNA,DEN,1013,0,18,F9_BNA_DEN,F9_BNA,0
c-9,c-4,824,AA,LGA,BNA,764,44,13,AA_LGA_BNA,AA_LGA,0
c-5,c-7,966,OO,PSC,SEA,172,6,16,OO_PSC_SEA,OO_PSC,1
c-10,c-3,896,US,BOS,LGA,185,56,14,US_BOS_LGA,US_BOS,0
c-6,c-7,1262,WN,OAK,SEA,671,2,21,WN_OAK_SEA,WN_OAK,1
c-2,c-1,1305,WN,RNO,SJC,188,45,21,WN_RNO_SJC,WN_RNO,1
c-5,c-3,728,MQ,LIT,ORD,552,8,12,MQ_LIT_ORD,MQ_LIT,0
c-8,c-1,1020,WN,TPA,PBI,174,0,17,WN_TPA_PBI,WN_TPA,1
c-3,c-4,514,DL,RNO,ATL,1993,34,8,DL_RNO_ATL,DL_RNO,0
c-1,c-4,875,AA,DFW,HSV,603,35,14,AA_DFW_HSV,AA_DFW,0
c-5,c-3,970,WN,OAK,SAN,446,10,16,WN_OAK_SAN,WN_OAK,1
c-4,c-2,636,DH,IAD,ALB,325,36,10,DH_IAD_ALB,DH_IAD,0
c-9,c-5,1148,MQ,ORD,MQT,303,8,19,MQ_ORD_MQT,MQ_ORD,0
c-4,c-5,406,CO,GPT,IAH,376,46,6,CO_GPT_IAH,CO_GPT,0
c-2,c-3,415,OH,ORD,CVG,264,55,6,OH_ORD_CVG,OH_ORD,0
c-8,c-1,1088,OH,BOS,JFK,187,8,18,OH_BOS_JFK,OH_BOS,0
c-5,c-3,364,FL,CLT,ATL,227,4,6,FL_CLT_ATL,FL_CLT,0
c-8,c-7,1074,FL,BOS,PHL,280,54,17,FL_BOS_PHL,FL_BOS,0
c-3,c-4,420,WN,DAL,HOU,239,0,7,WN_DAL_HOU,WN_DAL,0
c-7,c-4,1051,US,MSP,PHX,1276,31,17,US_MSP_PHX,US_MSP,0
c-12,c-1,744,DL,BDL,MCO,1050,24,12,DL_BDL_MCO,DL_BDL,0
c-8,c-4,1217,CO,EWR,IAH,1400,17,20,CO_EWR_IAH,CO_EWR,0
c-9,c-1,810,WN,MDW,BDL,777,30,13,WN_MDW_BDL,WN_MDW,0
c-6,c-7,1030,XE,GRK,IAH,166,10,17,XE_GRK_IAH,XE_GRK,0
c-1,c-1,1020,WN,OAK,LAX,337,0,17,WN_OAK_LAX,WN_OAK,0
c-12,c-5,1176,MQ,ORD,GRB,174,36,19,MQ_ORD_GRB,MQ_ORD,0
c-8,c-5,619,AA,ORD,LAS,1515,19,10,AA_ORD_LAS,AA_ORD,0
c-4,c-2,810,CO,LAX,EWR,2454,30,13,CO_LAX_EWR,CO_LAX,1
c-9,c-5,1014,US,DFW,CLT,936,54,16,US_DFW_CLT,US_DFW,0
c-1,c-7,1334,DL,ATL,GSP,153,14,22,DL_ATL_GSP,DL_ATL,1
c-9,c-6,1245,YV,OMA,PHX,1037,45,20,YV_OMA_PHX,YV_OMA,1
c-12,c-2,1102,MQ,LAX,LAS,236,22,18,MQ_LAX_LAS,MQ_LAX,0
c-2,c-5,685,WN,MSY,DAL,437,25,11,WN_MSY_DAL,WN_MSY,0
c-12,c-7,1233,AA,LGA,ATL,761,33,20,AA_LGA_ATL,AA_LGA,1
c-11,c-4,615,WN,PHX,IND,1489,15,10,WN_PHX_IND,WN_PHX,0
c-11,c-6,663,UA,JFK,LAX,2475,3,11,UA_JFK_LAX,UA_JFK,0
c-7,c-1,880,WN,MAF,DAL,319,40,14,WN_MAF_DAL,WN_MAF,0
c-10,c-5,530,XE,CLE,ATL,554,50,8,XE_CLE_ATL,XE_CLE,0
c-7,c-1,942,XE,CLE,MDT,280,42,15,XE_CLE_MDT,XE_CLE,0
c-3,c-1,419,AA,OKC,DFW,175,59,6,AA_OKC_DFW,AA_OKC,0
c-12,c-3,1208,EV,ATL,FAY,331,8,20,EV_ATL_FAY,EV_ATL,1
c-5,c-7,1080,UA,PHL,ORD,678,0,18,UA_PHL_ORD,UA_PHL,0
c-9,c-1,818,AS,SEA,DCA,2329,38,13,AS_SEA_DCA,AS_SEA,0
c-3,c-4,1146,DL,MIA,ATL,595,6,19,DL_MIA_ATL,DL_MIA,1
c-12,c-3,1342,OO,SFO,FAT,158,22,22,OO_SFO_FAT,OO_SFO,0
c-2,c-7,1027,EV,ATL,EVV,350,7,17,EV_ATL_EVV,EV_ATL,1
c-10,c-3,642,WN,LAX,MDW,1750,42,10,WN_LAX_MDW,WN_LAX,0
c-4,c-4,577,NW,MEM,DTW,610,37,9,NW_MEM_DTW,NW_MEM,0
c-1,c-6,700,OH,RSW,CVG,879,40,11,OH_RSW_CVG,OH_RSW,1
c-7,c-5,385,WN,CLE,MDW,307,25,6,WN_CLE_MDW,WN_CLE,0
c-8,c-2,1193,OO,ORD,ICT,588,53,19,OO_ORD_ICT,OO_ORD,0
c-1,c-6,799,YV,ORD,AUS,978,19,13,YV_ORD_AUS,YV_ORD,0
c-11,c-3,1013,UA,DEN,SMF,910,53,16,UA_DEN_SMF,UA_DEN,1
c-8,c-3,1264,AA,MIA,ATL,595,4,21,AA_MIA_ATL,AA_MIA,1
c-8,c-1,660,XE,ICT,IAH,542,0,11,XE_ICT_IAH,XE_ICT,0
c-9,c-4,790,EV,ATL,MLI,633,10,13,EV_ATL_MLI,EV_ATL,0
c-4,c-6,934,AS,SEA,PSP,987,34,15,AS_SEA_PSP,AS_SEA,0
c-8,c-4,1126,WN,LAS,MCI,1140,46,18,WN_LAS_MCI,WN_LAS,1
c-11,c-1,522,YV,IAD,RDU,224,42,8,YV_IAD_RDU,YV_IAD,0
c-10,c-2,449,DL,TPA,LGA,1011,29,7,DL_TPA_LGA,DL_TPA,0
c-4,c-6,1176,AA,DFW,IAD,1172,36,19,AA_DFW_IAD,AA_DFW,0
c-11,c-5,680,OO,DRO,SLC,338,20,11,OO_DRO_SLC,OO_DRO,0
c-9,c-1,1027,NW,DTW,MSN,312,7,17,NW_DTW_MSN,NW_DTW,0
c-3,c-4,365,FL,ROC,ATL,749,5,6,FL_ROC_ATL,FL_ROC,0
c-9,c-4,628,OO,ORD,SGF,438,28,10,OO_ORD_SGF,OO_ORD,0
c-3,c-6,566,UA,MSP,ORD,334,26,9,UA_MSP_ORD,UA_MSP,0
c-1,c-7,460,MQ,AMA,DFW,313,40,7,MQ_AMA_DFW,MQ_AMA,0
c-8,c-2,389,WN,SAN,PHX,304,29,6,WN_SAN_PHX,WN_SAN,0
c-5,c-3,1038,US,FLL,LGA,1076,18,17,US_FLL_LGA,US_FLL,0
c-8,c-4,595,HA,HNL,KOA,163,55,9,HA_HNL_KOA,HA_HNL,0
c-12,c-1,974,WN,DAL,SAT,248,14,16,WN_DAL_SAT,WN_DAL,0
c-3,c-5,943,US,CLT,ORD,599,43,15,US_CLT_ORD,US_CLT,0
c-7,c-5,456,UA,ORD,BUF,473,36,7,UA_ORD_BUF,UA_ORD,1
c-10,c-5,20,YV,LAS,OKC,987,20,0,YV_LAS_OKC,YV_LAS,1
c-3,c-5,545,UA,MCO,LAX,2217,5,9,UA_MCO_LAX,UA_MCO,0
c-8,c-7,1132,US,LGA,DCA,214,52,18,US_LGA_DCA,US_LGA,0
c-7,c-3,387,WN,STL,HOU,687,27,6,WN_STL_HOU,WN_STL,0
c-12,c-1,1198,AA,DFW,BNA,631,58,19,AA_DFW_BNA,AA_DFW,0
c-8,c-4,356,OO,LAN,ORD,179,56,5,OO_LAN_ORD,OO_LAN,0
c-9,c-1,717,CO,IAH,EWR,1400,57,11,CO_IAH_EWR,CO_IAH,0
c-5,c-5,595,AA,SAT,DFW,247,55,9,AA_SAT_DFW,AA_SAT,0
c-11,c-6,680,OO,DEN,MSO,679,20,11,OO_DEN_MSO,OO_DEN,0
c-4,c-1,535,WN,ONT,BNA,1751,55,8,WN_ONT_BNA,WN_ONT,0
c-9,c-3,650,WN,SMF,SAN,480,50,10,WN_SMF_SAN,WN_SMF,0
c-9,c-4,400,WN,LAX,RNO,390,40,6,WN_LAX_RNO,WN_LAX,0
c-9,c-3,910,WN,HRL,AUS,273,10,15,WN_HRL_AUS,WN_HRL,0
c-1,c-1,480,AA,DEN,DFW,641,0,8,AA_DEN_DFW,AA_DEN,0
c-12,c-7,1141,WN,MDW,LAS,1521,1,19,WN_MDW_LAS,WN_MDW,0
c-12,c-2,668,MQ,BMI,ORD,116,8,11,MQ_BMI_ORD,MQ_BMI,0
c-5,c-5,318,HA,HNL,OGG,100,18,5,HA_HNL_OGG,HA_HNL,0
c-2,c-4,549,DL,ATL,ONT,1900,9,9,DL_ATL_ONT,DL_ATL,0
c-4,c-4,925,WN,DAL,ELP,562,25,15,WN_DAL_ELP,WN_DAL,0
c-8,c-3,833,WN,HOU,PHX,1020,53,13,WN_HOU_PHX,WN_HOU,0
c-10,c-4,979,US,PHX,SLC,507,19,16,US_PHX_SLC,US_PHX,0
c-10,c-4,518,AA,IND,DFW,762,38,8,AA_IND_DFW,AA_IND,0
c-5,c-3,1167,DL,BOS,LGA,185,27,19,DL_BOS_LGA,DL_BOS,0
c-8,c-1,891,WN,MDW,DEN,895,51,14,WN_MDW_DEN,WN_MDW,0
c-12,c-7,845,DL,FLL,ATL,581,5,14,DL_FLL_ATL,DL_FLL,0
c-10,c-7,497,OO,LAX,SNA,36,17,8,OO_LAX_SNA,OO_LAX,0
c-2,c-5,471,AA,TUS,DFW,813,51,7,AA_TUS_DFW,AA_TUS,0
c-9,c-5,507,DL,LGA,BOS,185,27,8,DL_LGA_BOS,DL_LGA,0
c-7,c-5,1185,DH,BOS,IAD,413,45,19,DH_BOS_IAD,DH_BOS,1
c-4,c-3,1168,MQ,MAF,DFW,309,28,19,MQ_MAF_DFW,MQ_MAF,0
c-7,c-2,618,MQ,ORD,CID,196,18,10,MQ_ORD_CID,MQ_ORD,0
c-12,c-3,683,CO,CLE,RSW,1025,23,11,CO_CLE_RSW,CO_CLE,0
c-8,c-3,685,WN,OAK,SAN,446,25,11,WN_OAK_SAN,WN_OAK,1
c-3,c-1,1181,DL,ATL,CHS,259,41,19,DL_ATL_CHS,DL_ATL,0
c-6,c-4,692,DL,SLC,GEG,546,32,11,DL_SLC_GEG,DL_SLC,0
c-5,c-7,1255,WN,MDW,BDL,777,55,20,WN_MDW_BDL,WN_MDW,1
c-7,c-7,781,FL,ATL,LGA,761,1,13,FL_ATL_LGA,FL_ATL,0
c-7,c-2,805,B6,LGA,FLL,1076,25,13,B6_LGA_FLL,B6_LGA,0
c-2,c-4,1078,WN,STL,MCO,880,58,17,WN_STL_MCO,WN_STL,1
c-9,c-6,919,NW,MBS,DTW,98,19,15,NW_MBS_DTW,NW_MBS,0
c-5,c-5,1187,AS,SMF,SEA,605,47,19,AS_SMF_SEA,AS_SMF,1
c-4,c-6,1072,US,CLT,RDU,130,52,17,US_CLT_RDU,US_CLT,0
c-6,c-4,382,WN,CMH,BWI,336,22,6,WN_CMH_BWI,WN_CMH,0
c-9,c-3,720,WN,ABQ,PHX,328,0,12,WN_ABQ_PHX,WN_ABQ,0
c-8,c-3,538,UA,LAX,ORD,1745,58,8,UA_LAX_ORD,UA_LAX,0
c-6,c-7,1110,WN,PHL,RDU,336,30,18,WN_PHL_RDU,WN_PHL,0
c-6,c-4,740,OO,ELP,DEN,563,20,12,OO_ELP_DEN,OO_ELP,0
c-1,c-6,1090,DL,MIA,ATL,595,10,18,DL_MIA_ATL,DL_MIA,0
c-1,c-7,1041,UA,SMF,DEN,910,21,17,UA_SMF_DEN,UA_SMF,1
c-8,c-4,452,NW,IND,LGA,659,32,7,NW_IND_LGA,NW_IND,0
c-11,c-5,1063,DL,SAT,SLC,1086,43,17,DL_SAT_SLC,DL_SAT,0
c-6,c-6,1057,MQ,SJC,SNA,342,37,17,MQ_SJC_SNA,MQ_SJC,0
c-10,c-3,608,NW,MSP,IND,503,8,10,NW_MSP_IND,NW_MSP,0
c-7,c-3,1071,NW,LGA,DTW,501,51,17,NW_LGA_DTW,NW_LGA,0
c-10,c-2,1168,US,PHX,SMF,647,28,19,US_PHX_SMF,US_PHX,0
c-4,c-6,484,UA,OAK,DEN,957,4,8,UA_OAK_DEN,UA_OAK,0
c-11,c-4,1220,WN,LAS,SEA,866,20,20,WN_LAS_SEA,WN_LAS,0
c-4,c-7,508,UA,DEN,BWI,1491,28,8,UA_DEN_BWI,UA_DEN,0
c-10,c-6,680,WN,LAX,RNO,390,20,11,WN_LAX_RNO,WN_LAX,1
c-5,c-2,356,AA,LGA,ORD,733,56,5,AA_LGA_ORD,AA_LGA,0
c-7,c-2,752,US,CLT,BOS,728,32,12,US_CLT_BOS,US_CLT,0
c-8,c-7,405,MQ,RDU,BOS,612,45,6,MQ_RDU_BOS,MQ_RDU,0
c-3,c-2,1264,DL,PBI,BOS,1197,4,21,DL_PBI_BOS,DL_PBI,0
c-11,c-3,935,WN,MDW,MCO,989,35,15,WN_MDW_MCO,WN_MDW,0
c-4,c-7,1280,TZ,HNL,PHX,2917,20,21,TZ_HNL_PHX,TZ_HNL,0
c-8,c-4,413,NW,BUF,DTW,240,53,6,NW_BUF_DTW,NW_BUF,0
c-12,c-6,1117,DL,ATL,MSP,906,37,18,DL_ATL_MSP,DL_ATL,0
c-5,c-7,1126,NW,MEM,IND,381,46,18,NW_MEM_IND,NW_MEM,0
c-12,c-7,1189,OH,CVG,BTV,702,49,19,OH_CVG_BTV,OH_CVG,1
c-10,c-6,390,EV,APF,ATL,540,30,6,EV_APF_ATL,EV_APF,0
c-6,c-7,835,YV,ORD,CAK,344,55,13,YV_ORD_CAK,YV_ORD,0
